"year","all","0_4","5_9","10_14","15_19","20_24","25_29","30_34","35_39","40_44","45_49","50_54","55_59","60_64","65_69","70_74","75_79","80_84","over85"
1958,92007000,8103000,10494000,9912000,9240000,8598000,8072000,7100000,5503000,4962000,4712000,3948000,3518000,2780000,2077000,1449000,924000,450000,165000
1959,92971000,8005000,9702000,10398000,9634000,8497000,8171000,7350000,5813000,4884000,4786000,4087000,3589000,2845000,2107000,1510000,939000,474000,179000
1960,93418501,7844433,9204635,11017538,9308538,8318450,8209360,7517805,6038030,5019130,4816559,4201390,3641207,2931617,2160402,1563804,954678,482925,188000
1961,94285000,7783000,8752000,11503000,8862000,8491000,8261000,7676000,6386000,5100000,4856000,4378000,3619000,3065000,2268000,1615000,964000,497000,208000
1962,95178000,7838000,8352000,11066000,9245000,8735000,8280000,7850000,6703000,5210000,4870000,4465000,3674000,3196000,2327000,1659000,984000,508000,216000
1963,96156000,7886000,8051000,10479000,9843000,8967000,8312000,7954000,7024000,5417000,4842000,4552000,3735000,3257000,2424000,1665000,1007000,515000,226000
1964,97186000,7954000,7934000,9703000,10360000,9397000,8204000,8027000,7275000,5726000,4771000,4622000,3875000,3323000,2490000,1696000,1062000,526000,241000
1965,98274961,8133483,7849292,9183407,10851888,9068689,8363829,8257330,7498539,5961402,4921811,4657998,4002009,3344459,2562311,1744561,1095914,528116,249923
1966,99056000,8000000,7789000,8733000,11444000,8634000,8490000,8365000,7666000,6328000,4977000,4718000,4165000,3330000,2669000,1829000,1126000,531000,264000
1967,99637000,8200000,7776000,8251000,10997000,8956000,8612000,8378000,7801000,6617000,5082000,4696000,4225000,3401000,2771000,1888000,1161000,553000,275000
1968,100794000,8414000,7823000,7997000,10389000,9524000,8787000,8346000,7951000,6932000,5283000,4690000,4307000,3471000,2859000,1974000,1188000,577000,282000
1969,102022000,8637000,7873000,7902000,9635000,10078000,9139000,8222000,8035000,7198000,5595000,4625000,4393000,3602000,2927000,2032000,1219000,617000,293000
1970,103119447,8746089,8100003,7799284,8998395,10594925,9037118,8327691,8170903,7305820,5839717,4776975,4401704,3709919,2973692,2127751,1265890,648477,295094
1971,104345000,9289000,7987000,7736000,8548000,11137000,8554000,8462000,8298000,7446000,6167000,4866000,4453000,3869000,2959000,2230000,1356000,677000,312000
1972,105742000,9460000,8219000,7788000,8234000,10754000,8923000,8640000,8343000,7656000,6504000,4986000,4464000,3984000,3040000,2331000,1394000,701000,322000
1973,108079000,9798000,8515000,7951000,8104000,10227000,9501000,8890000,8393000,7899000,6830000,5231000,4513000,4091000,3138000,2434000,1485000,733000,346000
1974,109410000,9953000,8709000,8003000,8014000,9527000,9984000,9242000,8281000,8017000,7071000,5537000,4482000,4158000,3272000,2496000,1538000,757000,368000
1975,111251507,9934745,8877006,8223394,7891996,9007448,10730221,9193706,8378792,8189237,7329028,5747161,4648187,4263359,3435492,2567573,1636768,807299,390095
1976,112420000,9776000,9402000,8089000,7827000,8584000,11352000,8739000,8548000,8325000,7472000,6140000,4692000,4319000,3620000,2548000,1719000,855000,413000
1977,113499000,9540000,9569000,8353000,7904000,8208000,10860000,9080000,8749000,8386000,7686000,6429000,4863000,4342000,3705000,2662000,1818000,912000,431000
1978,114511000,9186000,9782000,8554000,7961000,7992000,10220000,9596000,8957000,8374000,7851000,6742000,5062000,4347000,3806000,2743000,1900000,977000,460000
1979,115465000,8804000,9919000,8756000,8010000,7940000,9464000,10068000,9335000,8270000,7951000,7012000,5365000,4299000,3899000,2876000,1970000,1030000,498000
1980,116320358,8458080,9966787,8900365,8215420,7783812,8976957,10708629,9151151,8296039,8057805,7170337,5582330,4442551,3947606,3012121,2030820,1091136,528412
1981,117204000,8153000,9830000,9437000,8096000,7752000,8539000,11284000,8697000,8460000,8191000,7351000,5922000,4522000,4016000,3170000,2051000,1165000,568000
1982,118008000,7914000,9551000,9607000,8357000,7823000,8149000,10867000,9057000,8680000,8267000,7518000,6245000,4665000,4040000,3276000,2137000,1241000,616000
